 ,DA,SA,LL,TV,VEC,CBT
1e-05,825,320,1305,655,215,1615,
2e-05,610,350,825,565,180,1345,
3e-05,615,210,800,495,160,1485,
4e-05,615,255,800,525,160,1370,
5e-05,485,240,485,555,210,1300,
6e-05,540,315,820,525,185,1520,
7e-05,525,220,760,510,155,1655,
8e-05,595,285,710,615,230,1785,
9e-05,545,175,750,545,180,1555,
0.0001,555,295,665,540,130,1730,
0.0002,985,290,815,610,170,1655,
0.0003,1175,255,805,585,125,1780,
0.0004,1215,230,945,585,145,1650,
0.0005,1130,260,635,630,140,1415,
0.0006,1160,225,735,745,130,1610,
0.0007,1025,220,880,700,195,1735,
0.0008,1370,240,710,595,90,1740,
0.0009,1355,255,980,620,145,1680,
0.001,1205,235,990,725,145,1680,
0.002,1765,230,1020,700,130,1580,
0.003,1755,310,1070,745,200,1740,
0.004,1755,290,795,670,125,1585,
0.005,1650,225,930,575,140,1710,
0.006,1495,335,900,720,160,1580,
0.007,1785,330,875,725,175,1585,
0.008,1600,225,960,775,200,1470,
0.009,1630,240,785,775,135,1615,
0.01,1595,275,820,720,180,1415,
0.02,1615,240,810,690,150,1935,
0.03,1720,275,1160,700,110,1685,
0.04,1755,265,845,830,175,1410,
0.05,1700,255,1075,715,165,1335,
0.06,1660,250,1115,660,150,1395,
0.07,1770,335,1090,665,175,1405,
0.08,1620,270,1095,675,150,1505,
0.09,1810,235,1040,685,220,1770,
0.1,1595,235,1095,705,155,1600,
0.2,1580,240,985,660,190,1450,
0.3,1510,240,960,630,145,1385,
0.4,1465,175,890,565,95,1595,
0.5,1465,345,885,595,140,1415,
0.6,1640,205,1220,565,145,1790,
0.7,1505,270,1045,595,125,1550,
0.8,1315,225,885,510,115,1440,
0.9,1480,215,1235,435,115,1485,
1,1600,240,1230,490,155,1705,
